<PROP>:MEDIA/PROPS/PALM:17,15:20
<PROP>:MEDIA/PROPS/PALM:67,46:50
<PROP>:MEDIA/PROPS/PALM:77,58:30
<PROP>:MEDIA/PROPS/PALM:35,70:160
<PROP>:MEDIA/PROPS/PALM:40,15:80
<PROP>:MEDIA/PROPS/PALM:46,23:40
<PROP>:MEDIA/PROPS/PALM:53,17:57
<PROP>:MEDIA/PROPS/TNT:45,19:20
<PROP>:MEDIA/PROPS/TNT:46,18:30
<PROP>:MEDIA/PROPS/TORCH:45,18.5:120
<PROP>:MEDIA/PROPS/TNT:44,18:60
<PROP>:MEDIA/PROPS/TNT:15,80:20
<PROP>:MEDIA/PROPS/TNT:16,81:30
<PROP>:MEDIA/PROPS/TNT:17,82:30
<PROP>:MEDIA/PROPS/TIKKI1:41,70:190
<PROP>:MEDIA/PROPS/TORCH:43.5,73:190
<PROP>:MEDIA/PROPS/TIKKI2:46,76:150
<PROP>:MEDIA/PROPS/TORCH:49.5,79:150
<PROP>:MEDIA/PROPS/TIKKI3:51,82:165
<PROP>:MEDIA/PROPS/TORCH:56,82.5:100
<PROP>:MEDIA/PROPS/TIKKI1:62,83:208
<CLOUD>:0:44,20,48:60,.8,.1
<CLOUD>:0:60,90,30:50,.8,.2
<CLOUD>:0:50,80,60:40,.9,.2
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:20,37:180:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:20,45:36:1,1
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:18,48:48:1.2,1.2
<DECORATION>:MEDIA/OBJECTS/BRUSH2:49,66:36:.8,.8
<DECORATION>:MEDIA/OBJECTS/BRUSH2:42,64:89:1,1
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:44,68:140:.9,.9
<DECORATION>:MEDIA/OBJECTS/BRUSH2:70,55:36:1.5,1.5
<DECORATION>:MEDIA/OBJECTS/BRUSH2:71,54:89:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:76,21:49:.9,.9
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:77,20:100:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:78.5,21.5:32:.7,.7

