<PROP>:MEDIA/PROPS/PALM:34,32:20
<PROP>:MEDIA/PROPS/PALM:61,25:50
<PROP>:MEDIA/PROPS/PALM:68,32:50
<PROP>:MEDIA/PROPS/PALM:73,70:180
<PROP>:MEDIA/PROPS/PALM:15,53:260
<PROP>:MEDIA/PROPS/PALM:20,46:30
<PROP>:MEDIA/PROPS/PALM:30,52:90
<PROP>:MEDIA/PROPS/PALM:26,21:180
<PROP>:MEDIA/PROPS/PALM:44,18:180
<PROP>:MEDIA/PROPS/PALM:52,11:180
<PROP>:MEDIA/PROPS/PALM:56,24:180
<PROP>:MEDIA/PROPS/TNT:73,73:95
<PROP>:MEDIA/PROPS/TNT:73.8,73.4:45
<PROP>:MEDIA/PROPS/TNT:72.2,73.6:190
<PROP>:MEDIA/PROPS/TORCH:73.8,74:180
<PROP>:MEDIA/PROPS/LIGHTHOUSE:50,54:0
<PROP>:MEDIA/PROPS/LIGHTBEAM:50,54:0
<PROP>:MEDIA/PROPS/TORCH:48,34:0
<PROP>:MEDIA/PROPS/TORCH:38,37:20
<PROP>:MEDIA/PROPS/TORCH:58,37:-50
<CLOUD>:1:39,85,46:50,.7,.2
<CLOUD>:1:57,99,64:60,.9,.2
<CLOUD>:1:59,90,40:40,.8,.2
<FIREFLY>:36,45,46
<FIREFLY>:36,45,46
<FIREFLY>:36,45,46
<FIREFLY>:36,45,46
<FIREFLY>:36,45,46
<FIREFLY>:36,45,46
<FIREFLY>:81,50,68
<FIREFLY>:81,50,68
<FIREFLY>:81,50,68
<FIREFLY>:81,50,68
<FIREFLY>:53,55,87
<FIREFLY>:53,55,87
<FIREFLY>:53,55,87
<FIREFLY>:53,55,87
<FIREFLY>:53,55,87
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:23,76:180:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:30,71:48:1.2,1.2
<DECORATION>:MEDIA/OBJECTS/BRUSH2:40,80:36:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:39,22:36:.8,.8
<DECORATION>:MEDIA/OBJECTS/BRUSH2:60,13:89:1,1
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:83,53:140:.9,.9
<DECORATION>:MEDIA/OBJECTS/BRUSH2:82,54:36:1.5,1.5
<DECORATION>:MEDIA/OBJECTS/BRUSH2:49,35:89:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:13,40:49:.9,.9
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:16,35:100:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail1.wsad:51,43:38:1.5,1.5
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail2.wsad:50.5,44.25:78:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail3.wsad:48.6,42.8:150:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail2.wsad:53.5,43.25:92:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail1.wsad:55,45:170:1.2,1.2
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail1.wsad:50,81:98:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail2.wsad:51.8,80.25:28:1.5,1.5
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail3.wsad:48.4,78.8:170:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail1.wsad:50.5,75:38:1,1
