<PROP>:MEDIA/PROPS/TIKKI1:20,24:180
<PROP>:MEDIA/PROPS/TIKKI2:22,22:180
<PROP>:MEDIA/PROPS/TIKKI3:24,21:180
<PROP>:MEDIA/PROPS/TIKKI1:72,24:180
<PROP>:MEDIA/PROPS/TIKKI2:70,22:180
<PROP>:MEDIA/PROPS/TIKKI3:68,21:180
<PROP>:MEDIA/PROPS/PALM:28,67:20
<PROP>:MEDIA/PROPS/PALM:32,68:50
<PROP>:MEDIA/PROPS/PALM:38,72:260
<PROP>:MEDIA/PROPS/PALM:41,71:30
<PROP>:MEDIA/PROPS/PALM:48,69:90
<PROP>:MEDIA/PROPS/PALM:54,72:100
<PROP>:MEDIA/PROPS/PALM:59,69:60
<PROP>:MEDIA/PROPS/PALM:65,69:120
<CLOUD>:0:28,88,38:50,.7,.2
<CLOUD>:0:66,89,39:60,.9,.2
<CLOUD>:0:47,85,55:40,.8,.2
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:47,27:180:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:30,56:48:1.2,1.2
<DECORATION>:MEDIA/OBJECTS/BRUSH2:56,54:36:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:30,77:36:.8,.8
<DECORATION>:MEDIA/OBJECTS/BRUSH2:38,17:89:1,1
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:75,26:140:.9,.9
<DECORATION>:MEDIA/OBJECTS/BRUSH2:76,54:36:1.5,1.5
<DECORATION>:MEDIA/OBJECTS/BRUSH2:40,46:89:1,1
<DECORATION>:MEDIA/OBJECTS/BRUSH2:42,44:49:.9,.9
<DECORATION>:MEDIA/OBJECTS/PALM2/brush1.wsad:55,55:100:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail1.wsad:23,44:38:1.5,1.5
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail2.wsad:27,45:78:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail3.wsad:33,41:150:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail2.wsad:34,32:92:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail1.wsad:32,30:170:1.2,1.2
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail1.wsad:59,36:98:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail2.wsad:60,41:28:1.5,1.5
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail3.wsad:62,43:170:1,1
<DECORATIONWATER>:MEDIA/OBJECTS/TAILS/tail1.wsad:62,40:38:1,1
